anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,label_status,label_reasons,label_unresolved_offsets,label_carrier,label_carrier_offset,label_carrier_d,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,survivor_lock_carrier,survivor_lock_carrier_offset,survivor_lock_carrier_d,survivor_lock_threat,survivor_lock_threat_offset,survivor_lock_threat_d,label_lock_carrier,label_lock_carrier_offset,label_lock_carrier_d,label_lock_threat,label_lock_threat_offset,label_lock_threat_d,interior_prime_offsets,structural_status,structural_reasons,rule_x_status,rule_x_reasons,survivor_lock_status,survivor_lock_reasons,label_lock_status,label_lock_reasons,exact_status,exact_reasons
11,2,13,12,1,6,0,0,RESOLVED_SURVIVOR,,,12,1,6,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,,SURVIVES,,SURVIVES,,SURVIVES,,RESOLVED_SURVIVOR,,SURVIVES,
11,6,17,14,3,4,0,2,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,8,19,14,3,4,0,3,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,12,23,14,3,4,0,6,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,18,29,25,14,3,0,3,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,20,31,25,14,3,0,4,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,26,37,25,14,3,0,9,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,30,41,25,14,3,0,12,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,32,43,25,14,3,0,13,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,36,47,25,14,3,0,16,UNRESOLVED,UNRESOLVED_INTERIOR_OPEN,2 6 8 12 18 20 26 30 32,25,14,3,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,LABEL_FREE_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
